"fecha_comprob","comprobante","puntoventa","numero_comprob","cliente","clientenombre","cuit","ctadeudorescodigo","ctadeudores","ctaventascodigo","ctaventas","total_comprob","imputacion_numero","comprob2","comprob2_nro","fecha_comprob2"
"01/03/2021",Factura de Venta,"00001 - Factura Electronica","00003349",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3691.5900000000,"2017-00000804",Recibo de Cobranza,"202000000359","18/01/2021"
"01/04/2020",Factura de Venta,"00001 - Factura Electronica","00002791",CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,841647.4200000000,"2017-00000641",Recibo de Cobranza,"202000000214","22/04/2020"
"01/06/2020",Factura de Venta,"0001 - Factura Electronica","00002957",CL000284,CHINA GEZHOUBA GROUP COMPANY LIMITED ELECTROINGENIERIA S.A.,"30-71432572-4","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,65000.0000000000,"2022-00000139",Recibo de Cobranza,"2022-00000057","03/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00000039",CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,259065.9200000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002789",CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,361955.0100000000,"2023-00001335",Factura de Ventas Anulada,"0000100002789","01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002980",CL000198,CAJA DE SERVICIOS SOCIALES DE LA PROVINCIA DE SANTA CRUZ ,"30-63824739-5","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1854020.7000000000,"2017-00000801",Recibo de Cobranza,"202000000355","29/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002981",CL000055,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,"30-55027355-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,409155.3100000000,"2017-00000726",Recibo de Cobranza,"202000000308","18/12/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002982",CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,253524.2700000000,"2022-00000576",Nota de Crédito de Venta,"0000100000700","29/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002982",CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,253524.2700000000,"2022-00000592",Recibo de Cobranza,"2022-00000362","22/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002983",CL000113,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION,"30-61445509-4","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,28491.0200000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002984",CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,58030.1000000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002985",CL000295,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS (IOSFA),"30-71429214-1","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,71154.9800000000,"2017-00001051",Recibo de Cobranza,"202000000540","12/07/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002986",CL000108,OBRA SOCIAL DEL PERSONAL DE FARMACIA,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,5250.5000000000,"2023-00002751",Recibo de Cobranza,"2023-00000785","25/07/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002987",CL000137,OBRA SOCIAL DEL PERSONAL DE TELEVISION,"30-51674838-5","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,8346.0800000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002988",CL000081,OBRA SOCIAL DE PETROLEROS,"30-66187671-5
","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,4790.0000000000,"2017-00001219",Recibo de Cobranza,"202000000642","05/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002989",CL000157,OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,17496.6200000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002990",CL000097,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1961.0400000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002991",CL000163,PLAN MEDICO DEL HOSPITAL ALEMAN,"30-54584303-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,8719.8700000000,"2017-00001120",Recibo de Cobranza,"202000000406","31/03/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002992",CL000298,SYGMA SERVICIOS INTEGRALES S.A.,"30-70728583-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,37090.4400000000,"2017-00000827",Recibo de Cobranza,"202000000365","26/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002993",CL000059,OBRA SOCIAL DE EMPRESARIOS PROFESIONALES Y MONOTRIBUTISTAS,"30-58666171-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14627.7400000000,"2017-00001550",Recibo de Cobranza,"202000000433","11/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002994",CL000031,MEDIFE ASOCIACION CIVIL,"30-68273765-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,13341.3600000000,"2023-00001066",Nota de Crédito de Venta,"0000100000753","08/02/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002994",CL000031,MEDIFE ASOCIACION CIVIL,"30-68273765-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,13341.3600000000,"2023-00001152",Recibo de Cobranza,"2023-00000542","13/02/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002995",CL000267,ASOCIACION MUTUAL SANCOR SALUD,"30-59035479-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,47528.5800000000,"2017-00000797",Recibo de Cobranza,"202000000351","29/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002996",CL000093,OBRA SOCIAL DE YACIMIENTOS CARBONIFEROS,"30-67858150-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,56647.5900000000,"2017-00000682",Recibo de Cobranza,"202000000279","11/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002997",CL000150,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA,"30-54733941-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14493.8900000000,"2017-00000581",Nota de Crédito de Venta,"0000100000594","10/11/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002997",CL000150,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA,"30-54733941-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14493.8900000000,"2017-00000582",Recibo de Cobranza,"202000000157","22/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002998",CL000050,OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS,"30-66150769-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,15017.6900000000,"2017-00000673",Recibo de Cobranza,"202000000270","19/08/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002999",CL000178,SWISS MEDICAL,"30-65485516-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,72950.8200000000,"2017-00000676",Recibo de Cobranza,"202000000273","01/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003000",CL000380,SUPERINTENDENCIA DE BIENESTAR POLICIA FEDERAL ARGENTINA,"30-54666267-1","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,19153.5400000000,"2017-00001558",Recibo de Cobranza,"202000000782","22/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003000",CL000201,POLICIA FEDERAL ARGENTINA,"30-62405191-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,19153.5400000000,"2017-00001557",Factura de Ventas Anulada,"0000100003000","01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003001",CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,980.5200000000,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003002",CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2816.0600000000,"2022-00000592",Recibo de Cobranza,"2022-00000362","22/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003003",CL000212,GALENO ARGENTINA SA,"30-52242816-3","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,4378.2800000000,"2017-00000701",Recibo de Cobranza,"202000000304","02/11/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003004",CL000111,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1756.0800000000,"2017-00000855",Recibo de Cobranza,"202000000379","15/03/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",CL000255,AUTOMOVIL CLUB ARGENTINO,"	
30-50014329-7","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,2716.6500000000,"2017-00001277",Factura de Ventas Anulada,"0000100003005","01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",CL000138,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2716.6500000000,"2017-00001283",Nota de Crédito de Venta,"0000100000612","20/07/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",CL000138,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2716.6500000000,"2017-00001285",Recibo de Cobranza,"202000000681","02/08/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003006",CL000168,PREVENCION SALUD SA,"30-71304500-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,2748.6800000000,"2017-00000652",Recibo de Cobranza,"202000000231","21/10/2020"
"01/07/2020",Factura de Venta Mostrador,"00004 - Tesoreria","00003960",CL000219,CONSUMIDOR FINAL OTROS,XX,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000577",Recibo de Cobranza Mostrador,"2020-00000435","01/07/2020"
"01/07/2020",Factura de Venta Mostrador,"00004 - Tesoreria","00003960",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,,,,//
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003554",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466","14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003555",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466","14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003556",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466","14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003557",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000969",Recibo de Cobranza,"202000000467","16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003558",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467","16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003559",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467","16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003560",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467","16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003561",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2023-00002675",Recibo de Cobranza,"2023-00000748","19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003562",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002675",Recibo de Cobranza,"2023-00000748","19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003563",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000971",Recibo de Cobranza,"202000000469","19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003564",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003565",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003566",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003567",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003568",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003569",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470","21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003570",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000973",Recibo de Cobranza,"202000000471","23/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003571",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000973",Recibo de Cobranza,"202000000471","23/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003572",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003573",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000975",Recibo de Cobranza,"202000000473","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003574",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000975",Recibo de Cobranza,"202000000473","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003575",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000974",Recibo de Cobranza,"202000000472","26/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003576",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003577",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003578",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000976",Recibo de Cobranza,"202000000474","28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003579",CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000976",Recibo de Cobranza,"202000000474","28/04/2021"
"01/07/2021",Factura de Venta Mostrador,"00004 - Tesoreria","00004039",CL000219,CONSUMIDOR FINAL OTROS,XX,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1743.7800000000,"2017-00001003",Recibo de Cobranza Mostrador,"2020-00000533","01/07/2021"
"01/07/2021",Nota de Débito de Venta,"00006 - ART Factura Electronica","13131301",CL000194,RIO VARADERO S.A.,"30-70965249-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,15210.0000000000,,,,//
"01/07/2021",Nota de Débito de Venta,"00006 - ART Factura Electronica","13131313",CL000194,RIO VARADERO S.A.,"30-70965249-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,15210.0000000000,,,,//
"01/09/2020",Factura de Venta,"00001 - Factura Electronica","00003102",CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,935074.0200000000,"2017-00000686",Recibo de Cobranza,"202000000282","17/09/2020"
"01/09/2021",Factura de Venta Mostrador,"00004 - Tesoreria","00004058",CL000219,CONSUMIDOR FINAL OTROS,XX,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3000.0000000000,"2017-00001094",Recibo de Cobranza Mostrador,"2020-00000546","01/09/2021"
"01/10/2020",Factura de Venta,"00001 - Factura Electronica","00000048",CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,736712.6300000000,"2017-00000617",Recibo de Cobranza,"202000000162","05/11/2020"
"01/10/2020",Factura de Venta,"00001 - Factura Electronica","00003136",CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14770.4100000000,"2017-00000617",Recibo de Cobranza,"202000000162","05/11/2020"
"01/10/2021",Factura de Venta,"00001 - Factura Electronica","00003700",CL000315,PUNTA NORTE S.R.L,"33-71204938-9","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,80000.0000000000,"2017-00001260",Recibo de Cobranza,"202000000662","12/10/2021"
"01/10/2021",Factura de Venta,"00001 - Factura Electronica","00003701",CL000383,GLAMPING SOUL SRL,"30-71665239-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,4511.8500000000,"2023-00002679",Recibo de Cobranza,"2023-00000753","06/10/2021"
"01/11/2021",Factura de Venta,"00001 - Factura Electronica","00003788",CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,690488.7900000000,"2023-00002426",Nota de Crédito de Venta,"0000100000627","01/11/2021"
