"fecha_comprob","comprobante","puntoventa","numero_comprob","estado","flag","cliente","clientenombre","cuit","ctadeudorescodigo","ctadeudores","ctaventascodigo","ctaventas","total_comprob","imputacion_numero","comprob2","comprob2_nro","comprob2_estado","comprob2_flag","fecha_comprob2"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002984",C,Cerrada,CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,58030.1000000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002985",C,Cerrada,CL000295,INSTITUTO DE OBRA SOCIAL DE LAS FUERZAS ARMADAS (IOSFA),"30-71429214-1","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,71154.9800000000,"2017-00001051",Recibo de Cobranza,"202000000540",C,,"12/07/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002986",C,Cerrada,CL000108,OBRA SOCIAL DEL PERSONAL DE FARMACIA,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,5250.5000000000,"2023-00002751",Recibo de Cobranza,"2023-00000785",C,,"25/07/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002987",C,Cerrada,CL000137,OBRA SOCIAL DEL PERSONAL DE TELEVISION,"30-51674838-5","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,8346.0800000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002988",C,Cerrada,CL000081,OBRA SOCIAL DE PETROLEROS,"30-66187671-5
","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,4790.0000000000,"2017-00001219",Recibo de Cobranza,"202000000642",C,,"05/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002989",C,Cerrada,CL000157,OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,17496.6200000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002990",C,Cerrada,CL000097,OBRA SOCIAL DEL PERSONAL AUXILIAR DE CASAS PARTICULARES,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1961.0400000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002991",C,Cerrada,CL000163,PLAN MEDICO DEL HOSPITAL ALEMAN,"30-54584303-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,8719.8700000000,"2017-00001120",Recibo de Cobranza,"202000000406",C,,"31/03/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002992",C,Cerrada,CL000298,SYGMA SERVICIOS INTEGRALES S.A.,"30-70728583-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,37090.4400000000,"2017-00000827",Recibo de Cobranza,"202000000365",C,,"26/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002993",C,Cerrada,CL000059,OBRA SOCIAL DE EMPRESARIOS PROFESIONALES Y MONOTRIBUTISTAS,"30-58666171-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14627.7400000000,"2017-00001550",Recibo de Cobranza,"202000000433",C,,"11/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002994",C,Cerrada,CL000031,MEDIFE ASOCIACION CIVIL,"30-68273765-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,13341.3600000000,"2023-00001066",Nota de Crédito de Venta,"0000100000753",C,Cerrada,"08/02/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002994",C,Cerrada,CL000031,MEDIFE ASOCIACION CIVIL,"30-68273765-0","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,13341.3600000000,"2023-00001152",Recibo de Cobranza,"2023-00000542",C,,"13/02/2023"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002995",C,Cerrada,CL000267,ASOCIACION MUTUAL SANCOR SALUD,"30-59035479-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,47528.5800000000,"2017-00000797",Recibo de Cobranza,"202000000351",C,,"29/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002996",C,Cerrada,CL000093,OBRA SOCIAL DE YACIMIENTOS CARBONIFEROS,"30-67858150-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,56647.5900000000,"2017-00000682",Recibo de Cobranza,"202000000279",C,,"11/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002997",C,Cerrada,CL000150,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA,"30-54733941-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14493.8900000000,"2017-00000581",Nota de Crédito de Venta,"0000100000594",C,Cerrada,"10/11/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002997",C,Cerrada,CL000150,OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA,"30-54733941-6","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,14493.8900000000,"2017-00000582",Recibo de Cobranza,"202000000157",C,,"22/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002998",C,Cerrada,CL000050,OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS,"30-66150769-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,15017.6900000000,"2017-00000673",Recibo de Cobranza,"202000000270",C,,"19/08/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002999",C,Cerrada,CL000178,SWISS MEDICAL,"30-65485516-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,72950.8200000000,"2017-00000676",Recibo de Cobranza,"202000000273",C,,"01/09/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003000",C,Cerrada,CL000380,SUPERINTENDENCIA DE BIENESTAR POLICIA FEDERAL ARGENTINA,"30-54666267-1","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,19153.5400000000,"2017-00001558",Recibo de Cobranza,"202000000782",C,,"22/02/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003000",C,Anulada,CL000201,POLICIA FEDERAL ARGENTINA,"30-62405191-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,19153.5400000000,"2017-00001557",Factura de Ventas Anulada,"0000100003000",C,,"01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003001",C,Cerrada,CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,980.5200000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003002",C,Cerrada,CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2816.0600000000,"2022-00000592",Recibo de Cobranza,"2022-00000362",C,,"22/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003003",C,Cerrada,CL000212,GALENO ARGENTINA SA,"30-52242816-3","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,4378.2800000000,"2017-00000701",Recibo de Cobranza,"202000000304",C,,"02/11/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003004",C,Cerrada,CL000111,OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD DEL TURF,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1756.0800000000,"2017-00000855",Recibo de Cobranza,"202000000379",C,,"15/03/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",C,Anulada,CL000255,AUTOMOVIL CLUB ARGENTINO,"	
30-50014329-7","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,2716.6500000000,"2017-00001277",Factura de Ventas Anulada,"0000100003005",C,,"01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",C,Cerrada,CL000138,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2716.6500000000,"2017-00001283",Nota de Crédito de Venta,"0000100000612",C,Cerrada,"20/07/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003005",C,Cerrada,CL000138,OBRA SOCIAL DEL PERSONAL DEL AUTOMOVIL CLUB ARGENTINO,XX,"01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,2716.6500000000,"2017-00001285",Recibo de Cobranza,"202000000681",C,,"02/08/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00003006",C,Cerrada,CL000168,PREVENCION SALUD SA,"30-71304500-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,2748.6800000000,"2017-00000652",Recibo de Cobranza,"202000000231",C,,"21/10/2020"
"01/07/2020",Factura de Venta Mostrador,"00004 - Tesoreria","00003960",C,Cerrada,CL000219,CONSUMIDOR FINAL OTROS,XX,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000577",Recibo de Cobranza Mostrador,"2020-00000435",C,,"01/07/2020"
"01/07/2020",Factura de Venta Mostrador,"00004 - Tesoreria","00003960",N,Anulada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,,,,,,//
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003554",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466",C,,"14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003555",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466",C,,"14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003556",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000968",Recibo de Cobranza,"202000000466",C,,"14/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003557",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000969",Recibo de Cobranza,"202000000467",C,,"16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003558",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467",C,,"16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003559",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467",C,,"16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003560",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000969",Recibo de Cobranza,"202000000467",C,,"16/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003561",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2023-00002675",Recibo de Cobranza,"2023-00000748",C,,"19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003562",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002675",Recibo de Cobranza,"2023-00000748",C,,"19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003563",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000971",Recibo de Cobranza,"202000000469",C,,"19/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003564",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003565",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003566",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003567",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003568",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003569",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2023-00002411",Recibo de Cobranza,"202000000470",C,,"21/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003570",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000973",Recibo de Cobranza,"202000000471",C,,"23/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003571",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000973",Recibo de Cobranza,"202000000471",C,,"23/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003572",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003573",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000975",Recibo de Cobranza,"202000000473",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003574",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4800000000,"2017-00000975",Recibo de Cobranza,"202000000473",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003575",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000974",Recibo de Cobranza,"202000000472",C,,"26/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003576",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003577",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5500.4900000000,"2017-00000975",Recibo de Cobranza,"202000000473",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003578",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000976",Recibo de Cobranza,"202000000474",C,,"28/04/2021"
"01/07/2021",Factura de Venta,"00001 - Factura Electronica","00003579",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,5541.6200000000,"2017-00000976",Recibo de Cobranza,"202000000474",C,,"28/04/2021"
"01/07/2021",Factura de Venta Mostrador,"00004 - Tesoreria","00004039",C,Cerrada,CL000219,CONSUMIDOR FINAL OTROS,XX,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1743.7800000000,"2017-00001003",Recibo de Cobranza Mostrador,"2020-00000533",C,,"01/07/2021"
"01/07/2021",Nota de Débito de Venta,"00006 - ART Factura Electronica","13131301",N,Anulada,CL000194,RIO VARADERO S.A.,"30-70965249-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,15210.0000000000,,,,,,//
"01/07/2021",Nota de Débito de Venta,"00006 - ART Factura Electronica","13131313",C,Anulada,CL000194,RIO VARADERO S.A.,"30-70965249-0","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,15210.0000000000,,,,,,//
"01/09/2020",Factura de Venta,"00001 - Factura Electronica","00003102",C,Cerrada,CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,935074.0200000000,"2017-00000686",Recibo de Cobranza,"202000000282",C,,"17/09/2020"
